CompoundGroup,ParentCompound_name,CHEBI_key,INCHI_key,CAS_numer,Biomarker_name,Biomarker_abbreviation,Biomarker_varname,BWB = Blood-whole blood (µg/L),BP = Blood-plasma (µg/L),BS = Blood-serum (µg/L),RBC = Red blood cells (µg/L),VAMS = Volumetric absorptive microsample (µg/L),CBWB = Cord blood-whole blood (µg/L),CBP = Cord blood-plasma (µg/L),CBS = Cord blood-serum (µg/L),AF = Amniotic Fluid (µg/L),PLT = Placenta tissue (ng/g),US = Urine- random spot (µg/L),UD = Urine-24h (µg/L),UM = Urine-first morning urine (µg/L),STL = Stool (ng/g),BM = Breast milk (µg/L),SEM = Semen (µg/L),SA = Saliva (µg/L),SPT = Sputum (µg/L),H = Hair (ng/g),TN = Toe nail (ng/g),FN = Finger nail (ng/g),ADI = Adipose Tissue/Fat (µg/L),EBC = Exhaled breath condensate (µg/L),DW = Dermal wipes (µg/cm2),SW = Surface wipe (µg/cm2)
Flame retardants,2-ethylhexyl diphenyl phosphate,,PZMFWNXABLTZRN-UHFFFAOYSA-N,,2-ethyl-5-hydroxyhexyl diphenyl phosphate,5-HO-EHDPHP,ohehdphp,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,"2-ethylhexyl-2,3,4,5-tetrabromobenzoate",,HVDXCGSGEQKWGB-UHFFFAOYSA-N,,"2-ethylhexyl-2,3,4,5-tetrabromobenzoate",EH-TBB,ehtbb,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),,CHEBI:135932,,21245-02-3,2-Ethylhexyl 4-(dimethylamino)benzoate,,dabi,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,2-ethylhexyl diphenyl phosphate,,UGIWGFXQNPWKPR-UHFFFAOYSA-M,,2-ethylhexyl phenyl phosphate,EHPHP,ehphp,,,,,,,,,,,,,,,,,,,,,,,,,
Aprotic solvents,N-ethyl-2-pyrrolidone,,CTDCWBUTXCPHAM-UHFFFAOYSA-N,,2-hydroxy-N-ethylsuccinimide,2-HESI,hesi,,,,,,,,,,,,,,,,,,,,,,,,,
Aprotic solvents,N-methyl-2-pyrrolidone,,NLKACWKSCREJEL-UHFFFAOYSA-N,,2-hydroxy-N-methylsuccinimide,2-HMSI,hmsi,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,Atrazine,,NFMIMWNQWAWNDW-UHFFFAOYSA-N,,2-hydroxy atrazine,,ha2,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,Simazine,CHEBI:83476,,2599-11-3,2-hydroxy simazine,,hs2,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Tris(2-butoxyethyl) phosphate,,UQSRKBXTCXVEJL-UHFFFAOYSA-N,,2-hydroxyethyl bis(2-butoxyethyl) phosphate,BBOEHEP,bboehep,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Fluorene,CHEBI:34289,,2443-58-5,2-hydroxyfluorene,2-FLUO,twohfluo,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Naphthalene,CHEBI:10432,,135-19-3,2-hydroxynaphthalene,2-NAPH,twoohnap,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Phenanthrene,CHEBI:19760,,,2-hydroxyphenanthrene,2-PHEN,twohphe,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides (carbamate),,CHEBI:38547,,4812-20-8,2-Isopropoxyphenol,IPP,ipp,,,,,,,,,,,,,,,,,,,,,,,,,
Glycol ethers,"1,2-bis(2-methoxyethoxy)ethane;1,2-dimethoxyethane;2-(2-(2-methoxyethoxy)ethoxy)ethanol;2-(2-methoxyethoxy)ethanol;2-methoxyethanol;Bis(2-methoxyethyl) ether",CHEBI:132098,,625-45-6,2-methoxyacetic acid,MAA,maa,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Naphthalene,CHEBI:50720,,91-57-6,2-methylnaphthalene,2-MN,twomnap,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-isobutyl phthalate,,LTLINVWNJJAVGH-UHFFFAOYSA-M,,2-OH-Mono-iso-butylphthalate,OH-MiBP,ohmibp,,,,,,,,,,,,,,,,,,,,,,,,,
Glycol ethers,2-phenoxyethanol,CHEBI:8075,,122-59-8,2-phenoxyacetic acid,PhAA,phaa,,,,,,,,,,,,,,,,,,,,,,,,,
Glycol ethers,2-(propyloxy)ethanol,,SGUYGLMQEOSQTH-UHFFFAOYSA-N,,2-propoxyacetic acid,PAA,paa,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,,,IEWFKOVTVJNWFF-UHFFFAOYSA-N,,"2,2',3,3',4,4',5,6'-Octabromodiphenyl ether",BDE-196,bde196,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,,,AAFUUKPTSPVXJH-UHFFFAOYSA-N,,"2,2',3,3',4,4',6,6'-Octabromodiphenyl ether",BDE-197,bde197,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,,,RTUZOQFRIPIWPS-UHFFFAOYSA-N,,"2,2',3,4,4',5,5',6-Octabromodiphenyl ether",BDE-203,bde203,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,"2,3-Dichloroaniline",CHEBI:46636,,608-27-5,"2,3-Dichloroaniline","2,3DChA",twothreedcha,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,,HSQFVBWFPBKHEB-UHFFFAOYSA-N,,"2,3,4-Trichlorophenol","2,3,4-TCP",tcp234,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),Benzophenone,CHEBI:176813,,1143-72-2,"2,3,4 trihydroxybenzophenone",THB,thb,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,"2-ethylhexyl-2,3,4,5-tetrabromobenzoate",,,,"2,3,4,5-tetrabromo benzoic acid",TBBA,tbba,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:132359,,58-90-2,"2,3,4,6-Tetrachlorophenol","2,3,4,6-TeCP",tecp2346,,,,,,,,,,,,,,,,,,,,,,,,,
Furans,,CHEBI:81512,,60851-34-5,"2,3,4,6,7,8-Hexatachlorodibenzofuran","2,3,4,6,7,8-HxCDF",pcdf130,,,,,,,,,,,,,,,,,,,,,,,,,
Furans,,CHEBI:81508,,57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran","2,3,4,7,8-PeCDF",pcdf114,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Naphthalene,CHEBI:89809,,,"2,3,5-trimethylnaphthalene","2,3,5-TMN",tmnap,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,"2,3,5,6-tetrabromo-p-xylene",,RXKOKVQKECXYOT-UHFFFAOYSA-N,,"2,3,5,6-tetrabromo-p-xylene",TBX,tbx,,,,,,,,,,,,,,,,,,,,,,,,,
Dioxins;Organochlorine compounds (OCs),,CHEBI:28119,,1746-01-6,"2,3,7,8-tetrachlorodibenzodioxin","2,3,7,8-TCDD",tcbd,,,,,,,,,,,,,,,,,,,,,,,,,
